Country,Year,ln_consump_pc
Albania,1980-01-01,4.160408569
Austria,1980-01-01,5.033455651
Belgium,1980-01-01,5.41864478
Bulgaria,1980-01-01,5.071100607
Cyprus,1980-01-01,4.472229087
Denmark,1980-01-01,5.172078612
Finland,1980-01-01,5.371171785
France,1980-01-01,5.105268583
Greece,1980-01-01,4.3709531
Iceland,1980-01-01,5.564728055
Ireland,1980-01-01,4.595478725
Italy,1980-01-01,4.752688106
Luxembourg,1980-01-01,6.082062713
Malta,1980-01-01,4.133529797
Netherlands,1980-01-01,5.494260702
Norway,1980-01-01,5.860794205
Portugal,1980-01-01,3.865622256
Romania,1980-01-01,4.860591045
Spain,1980-01-01,4.491661387
Sweden,1980-01-01,5.576279348
Switzerland,1980-01-01,5.244843259
Turkey,1980-01-01,3.17498752
UK,1980-01-01,5.126763355
Albania,1981-01-01,4.134594864
Austria,1981-01-01,5.020114691
Belgium,1981-01-01,5.357066939
Bulgaria,1981-01-01,5.056716551
Cyprus,1981-01-01,4.286599516
Denmark,1981-01-01,5.007576457
Finland,1981-01-01,5.331651446
France,1981-01-01,5.056819034
Greece,1981-01-01,4.347809169
Iceland,1981-01-01,5.550758283
Ireland,1981-01-01,4.550317425
Italy,1981-01-01,4.729052657
Luxembourg,1981-01-01,5.928283865
Malta,1981-01-01,4.222069567
Netherlands,1981-01-01,5.425534072
Norway,1981-01-01,5.891103387
Portugal,1981-01-01,3.703718438
Romania,1981-01-01,4.840221328
Spain,1981-01-01,4.49880798
Sweden,1981-01-01,5.55848302
Switzerland,1981-01-01,5.162490899
Turkey,1981-01-01,3.09263987
UK,1981-01-01,5.076565639
Albania,1982-01-01,4.120257357
Austria,1982-01-01,4.970471239
Belgium,1982-01-01,5.290093121
Bulgaria,1982-01-01,5.089023669
Cyprus,1982-01-01,4.340363073
Denmark,1982-01-01,5.008765681
Finland,1982-01-01,5.300388974
France,1982-01-01,5.018201593
Greece,1982-01-01,4.313155988
Iceland,1982-01-01,5.564534486
Ireland,1982-01-01,4.532362304
Italy,1982-01-01,4.705549736
Luxembourg,1982-01-01,5.885578736
Malta,1982-01-01,4.245190297
Netherlands,1982-01-01,5.392926715
Norway,1982-01-01,5.859194133
Portugal,1982-01-01,3.968457807
Romania,1982-01-01,4.880288406
Spain,1982-01-01,4.569116002
Sweden,1982-01-01,5.477087733
Switzerland,1982-01-01,5.135518581
Turkey,1982-01-01,3.213820137
UK,1982-01-01,5.066353692
